dataset_sample_id,image_path,source_run,source_sample_id,source_image_path,label_source,source_left_pwm,source_right_pwm,quality_score,steering,steering_delta,steering_bin,simulation_time,control_mode,target_lane,corner_radius_m,corner_curvature_1pm,lane_status,lane_error,lane_direction,decision_reason,command,left_pwm,right_pwm,expert_left_pwm,expert_right_pwm,driveability_score,safety_state,position_x,position_y,yaw,cross_track_error,heading_error,target_x,target_y
lane1_00010,images/lane_1/lane1_00010.jpg,run_20260831_015552,96,dataset\runs\run_20260831_015552\images\frame_000096.jpg,expert_command,0.3873,0.2737,0.736581,-0.113600,0.002000,-0.15:-0.09,15.520,expert,1,0.8,1.25000,left_only,-50,right,simulator_ground_truth,expert_path_follow,0.3873,0.2737,,,,,2.70311,-1.14384,-2.40151,0.01211,-0.07891,2.57023,-1.24721
lane1_00011,images/lane_1/lane1_00011.jpg,run_20260831_015552,98,dataset\runs\run_20260831_015552\images\frame_000098.jpg,expert_command,0.4084,0.2442,0.781048,-0.164200,0.031400,-0.22:-0.15,15.840,expert,1,0.8,1.25000,left_only,-50,right,simulator_ground_truth,expert_path_follow,0.4084,0.2442,,,,,2.61988,-1.21547,-2.46549,0.00624,-0.11404,2.47558,-1.30636
lane1_00012,images/lane_1/lane1_00012.jpg,run_20260831_015552,115,dataset\runs\run_20260831_015552\images\frame_000115.jpg,expert_command,0.3181,0.3556,0.300229,0.037500,0.006100,+0.03:+0.09,18.560,expert,1,0.8,1.25000,both_lanes,17,forward,simulator_ground_truth,expert_path_follow,0.3181,0.3556,,,,,1.74069,-1.40670,3.09923,0.01147,0.02605,1.33000,-1.40000
lane1_00013,images/lane_1/lane1_00013.jpg,run_20260831_015552,131,dataset\runs\run_20260831_015552\images\frame_000131.jpg,expert_command,0.3410,0.3386,0.045324,-0.002400,0.000300,-0.03:+0.03,21.120,expert,1,0.8,1.25000,both_lanes,1,forward,simulator_ground_truth,expert_path_follow,0.3410,0.3386,,,,,0.83770,-1.39976,-3.13936,0.00231,-0.00167,0.42000,-1.40000
lane1_00014,images/lane_1/lane1_00014.jpg,run_20260831_015552,139,dataset\runs\run_20260831_015552\images\frame_000139.jpg,expert_command,0.3400,0.3400,0.006386,0.000000,0.000100,-0.03:+0.03,22.400,expert,1,0.8,1.25000,both_lanes,1,forward,simulator_ground_truth,expert_path_follow,0.3400,0.3400,,,,,0.38520,-1.40024,3.14098,0.00031,0.00004,-0.03500,-1.40000
lane1_00015,images/lane_1/lane1_00015.jpg,run_20260831_015552,147,dataset\runs\run_20260831_015552\images\frame_000147.jpg,expert_command,0.3399,0.3401,0.044900,0.000200,0.000000,-0.03:+0.03,23.680,expert,1,0.8,1.25000,both_lanes,1,forward,simulator_ground_truth,expert_path_follow,0.3399,0.3401,,,,,-0.06739,-1.40004,3.14137,0.00261,0.00012,-0.49000,-1.40000
lane1_00016,images/lane_1/lane1_00016.jpg,run_20260831_015552,155,dataset\runs\run_20260831_015552\images\frame_000155.jpg,expert_command,0.3400,0.3400,0.083767,0.000000,0.000000,-0.03:+0.03,24.960,expert,1,0.8,1.25000,both_lanes,0,forward,simulator_ground_truth,expert_path_follow,0.3400,0.3400,,,,,-0.51998,-1.40000,3.14157,0.00502,0.00003,-0.94500,-1.40000
lane1_00017,images/lane_1/lane1_00017.jpg,run_20260831_015552,162,dataset\runs\run_20260831_015552\images\frame_000162.jpg,expert_command,0.3400,0.3400,0.102167,0.000000,0.000000,-0.03:+0.03,26.080,expert,1,0.8,1.25000,both_lanes,2,forward,simulator_ground_truth,expert_path_follow,0.3400,0.3400,,,,,-0.91601,-1.40000,-3.14159,0.00601,0.00000,-1.33000,-1.40000
lane1_00018,images/lane_1/lane1_00018.jpg,run_20260831_015552,165,dataset\runs\run_20260831_015552\images\frame_000165.jpg,expert_command,0.3400,0.3400,0.268333,0.000000,0.000000,-0.03:+0.03,26.560,expert,1,0.8,1.25000,left_only,-36,right,simulator_ground_truth,expert_path_follow,0.3400,0.3400,,,,,-1.08574,-1.40000,-3.14159,0.00074,-0.00000,-1.50500,-1.40000
lane1_00019,images/lane_1/lane1_00019.jpg,run_20260831_015552,196,dataset\runs\run_20260831_015552\images\frame_000196.jpg,expert_command,0.4230,0.2238,0.908833,-0.199200,0.011200,-0.22:-0.15,31.520,expert,1,0.8,1.25000,left_only,-50,right,simulator_ground_truth,expert_path_follow,0.4230,0.2238,,,,,-2.70039,-1.14352,2.28124,0.01010,-0.13827,-2.79282,-1.00000
lane1_00020,images/lane_1/lane1_00020.jpg,run_20260831_015552,198,dataset\runs\run_20260831_015552\images\frame_000198.jpg,expert_command,0.4421,0.1971,1.069629,-0.245000,0.025000,-0.30:-0.22,31.840,expert,1,0.8,1.25000,left_only,-50,right,simulator_ground_truth,expert_path_follow,0.4421,0.1971,,,,,-2.76819,-1.05900,2.17352,0.01266,-0.17016,-2.84175,-0.89969
lane1_00021,images/lane_1/lane1_00021.jpg,run_20260831_015552,210,dataset\runs\run_20260831_015552\images\frame_000210.jpg,expert_command,0.1712,0.4606,1.231700,0.289400,0.136500,+0.22:+0.30,33.760,expert,1,0.8,1.25000,right_only,50,left,simulator_ground_truth,expert_path_follow,0.1712,0.4606,,,,,-2.91043,-0.46098,1.28379,0.01048,0.20101,-2.90000,-0.34000
lane1_00022,images/lane_1/lane1_00022.jpg,run_20260831_015552,212,dataset\runs\run_20260831_015552\images\frame_000212.jpg,expert_command,0.1024,0.5097,1.779457,0.407300,0.117900,+0.30:+0.45,34.080,expert,1,0.8,1.25000,left_only,-10,forward,simulator_ground_truth,expert_path_follow,0.1024,0.5097,,,,,-2.86967,-0.35954,1.53646,0.03034,0.28282,-2.90000,-0.24000
lane1_00023,images/lane_1/lane1_00023.jpg,run_20260831_015552,218,dataset\runs\run_20260831_015552\images\frame_000218.jpg,expert_command,0.4774,0.1476,1.168105,-0.329800,0.099600,-0.45:-0.30,35.040,expert,1,0.8,1.25000,left_only,-50,right,simulator_ground_truth,expert_path_follow,0.4774,0.1476,,,,,-2.90087,-0.05281,1.79276,0.00295,-0.22907,-2.90000,0.07000
lane1_00024,images/lane_1/lane1_00024.jpg,run_20260831_015552,224,dataset\runs\run_20260831_015552\images\frame_000224.jpg,expert_command,0.2434,0.4090,1.298448,0.165600,0.212000,+0.15:+0.22,36.000,expert,1,0.8,1.25000,left_only,-50,right,simulator_ground_truth,expert_path_follow,0.2434,0.4090,,,,,-2.92741,0.25531,1.23942,0.02780,0.11502,-2.90000,0.38000
lane1_00025,images/lane_1/lane1_00025.jpg,run_20260831_015552,250,dataset\runs\run_20260831_015552\images\frame_000250.jpg,expert_command,0.4841,0.1383,1.425705,-0.345800,0.026800,-0.45:-0.30,40.160,expert,1,0.8,1.25000,both_lanes,-73,right,simulator_ground_truth,expert_path_follow,0.4841,0.1383,,,,,-2.37274,1.38570,0.28764,0.03176,-0.24012,-2.19750,1.39404
lane1_00026,images/lane_1/lane1_00026.jpg,run_20260831_015552,262,dataset\runs\run_20260831_015552\images\frame_000262.jpg,expert_command,0.3190,0.3550,0.199810,0.036000,0.003900,+0.03:+0.09,42.080,expert,1,0.8,1.25000,both_lanes,15,forward,simulator_ground_truth,expert_path_follow,0.3190,0.3550,,,,,-1.71825,1.40492,-0.03661,0.00589,0.02499,-1.29500,1.40000
lane1_00027,images/lane_1/lane1_00027.jpg,run_20260831_015552,275,dataset\runs\run_20260831_015552\images\frame_000275.jpg,expert_command,0.3414,0.3381,0.089071,-0.003300,0.000200,-0.03:+0.03,44.160,expert,1,0.8,1.25000,both_lanes,1,forward,simulator_ground_truth,expert_path_follow,0.3414,0.3381,,,,,-0.98466,1.39878,0.00515,0.00482,-0.00227,-0.56000,1.40000
lane1_00028,images/lane_1/lane1_00028.jpg,run_20260831_015552,285,dataset\runs\run_20260831_015552\images\frame_000285.jpg,expert_command,0.3400,0.3400,0.018538,0.000000,0.000200,-0.03:+0.03,45.760,expert,1,0.8,1.25000,both_lanes,3,forward,simulator_ground_truth,expert_path_follow,0.3400,0.3400,,,,,-0.41911,1.40026,-0.00061,0.00092,-0.00001,0.00000,1.40000
lane1_00029,images/lane_1/lane1_00029.jpg,run_20260831_015552,293,dataset\runs\run_20260831_015552\images\frame_000293.jpg,expert_command,0.3399,0.3401,0.026933,0.000200,0.000000,-0.03:+0.03,47.040,expert,1,0.8,1.25000,both_lanes,1,forward,simulator_ground_truth,expert_path_follow,0.3399,0.3401,,,,,0.03348,1.40005,-0.00025,0.00153,0.00013,0.45500,1.40000
lane1_00030,images/lane_1/lane1_00030.jpg,run_20260831_015552,303,dataset\runs\run_20260831_015552\images\frame_000303.jpg,expert_command,0.3400,0.3400,0.070400,0.000000,0.000000,-0.03:+0.03,48.640,expert,1,0.8,1.25000,both_lanes,0,forward,simulator_ground_truth,expert_path_follow,0.3400,0.3400,,,,,0.59922,1.40000,-0.00001,0.00422,0.00002,1.01500,1.40000
lane1_00031,images/lane_1/lane1_00031.jpg,run_20260831_015552,314,dataset\runs\run_20260831_015552\images\frame_000314.jpg,expert_command,0.3400,0.3400,0.068333,0.000000,0.000000,-0.03:+0.03,50.400,expert,1,0.8,1.25000,both_lanes,11,forward,simulator_ground_truth,expert_path_follow,0.3400,0.3400,,,,,1.22156,1.40000,0.00000,0.00344,-0.00000,1.64500,1.40000
lane1_00032,images/lane_1/lane1_00032.jpg,run_20260831_015552,316,dataset\runs\run_20260831_015552\images\frame_000316.jpg,expert_command,0.3400,0.3400,0.348500,0.000000,0.000000,-0.03:+0.03,50.720,expert,1,0.8,1.25000,left_only,-50,right,simulator_ground_truth,expert_path_follow,0.3400,0.3400,,,,,1.33471,1.40000,0.00000,0.00471,-0.00000,1.75000,1.40000
lane1_00033,images/lane_1/lane1_00033.jpg,run_20260831_015552,330,dataset\runs\run_20260831_015552\images\frame_000330.jpg,expert_command,0.3830,0.2797,0.613124,-0.103300,0.048600,-0.15:-0.09,52.960,expert,1,0.8,1.25000,left_only,-50,right,simulator_ground_truth,expert_path_follow,0.3830,0.2797,,,,,2.12422,1.40005,-0.06796,0.00374,-0.07174,2.29354,1.37624
lane1_00034,images/lane_1/lane1_00034.jpg,run_20260831_015552,345,dataset\runs\run_20260831_015552\images\frame_000345.jpg,expert_command,0.4453,0.1926,1.072762,-0.252700,0.026400,-0.30:-0.22,55.360,expert,1,0.8,1.25000,left_only,-50,right,simulator_ground_truth,expert_path_follow,0.4453,0.1926,,,,,2.78121,1.04133,-0.99380,0.01171,-0.17549,2.84686,0.88669
lane1_00035,images/lane_1/lane1_00035.jpg,run_20260831_015552,356,dataset\runs\run_20260831_015552\images\frame_000356.jpg,expert_command,0.2153,0.4290,1.285414,0.213700,0.166500,+0.15:+0.22,57.120,expert,1,0.8,1.25000,right_only,50,left,simulator_ground_truth,expert_path_follow,0.2153,0.4290,,,,,2.92264,0.49135,-1.90366,0.02268,0.14841,2.90000,0.37000
lane1_00036,images/lane_1/lane1_00036.jpg,run_20260831_015552,357,dataset\runs\run_20260831_015552\images\frame_000357.jpg,expert_command,0.1477,0.4774,1.172362,0.329700,0.116000,+0.30:+0.45,57.280,expert,1,0.8,1.25000,right_only,50,left,simulator_ground_truth,expert_path_follow,0.1477,0.4774,,,,,2.90226,0.44074,-1.81852,0.00238,0.22898,2.90000,0.32000
lane1_00037,images/lane_1/lane1_00037.jpg,run_20260831_015552,365,dataset\runs\run_20260831_015552\images\frame_000365.jpg,expert_command,0.4885,0.1321,1.316348,-0.356400,0.080400,-0.45:-0.30,58.560,expert,1,0.8,1.25000,left_only,-50,right,simulator_ground_truth,expert_path_follow,0.4885,0.1321,,,,,2.90881,0.03244,-1.39508,0.00914,-0.24753,2.90000,-0.09000
lane1_00038,images/lane_1/lane1_00038.jpg,run_20260831_015552,392,dataset\runs\run_20260831_015552\images\frame_000392.jpg,expert_command,0.4196,0.2285,0.839690,-0.191100,0.035300,-0.22:-0.15,62.880,expert,1,0.8,1.25000,left_only,-50,right,simulator_ground_truth,expert_path_follow,0.4196,0.2285,,,,,2.58580,-1.24278,-2.50067,0.00582,-0.13273,2.43809,-1.32505
lane1_00039,images/lane_1/lane1_00039.jpg,run_20260831_015552,401,dataset\runs\run_20260831_015552\images\frame_000401.jpg,expert_command,0.3526,0.3223,1.116448,-0.030300,0.088800,-0.09:-0.03,64.320,expert,1,0.8,1.25000,both_lanes,19,forward,simulator_ground_truth,expert_path_follow,0.3526,0.3223,,,,,2.14227,-1.45597,3.00723,0.05707,-0.02105,1.78500,-1.40000
lane1_00040,images/lane_1/lane1_00040.jpg,run_20260831_015552,423,dataset\runs\run_20260831_015552\images\frame_000423.jpg,expert_command,0.3412,0.3383,0.082076,-0.002900,0.000400,-0.03:+0.03,67.840,expert,1,0.8,1.25000,both_lanes,0,forward,simulator_ground_truth,expert_path_follow,0.3412,0.3383,,,,,0.90553,-1.39938,-3.13812,0.00451,-0.00197,0.49000,-1.40000
lane1_00041,images/lane_1/lane1_00041.jpg,run_20260831_015552,434,dataset\runs\run_20260831_015552\images\frame_000434.jpg,expert_command,0.3399,0.3401,0.061352,0.000200,0.000100,-0.03:+0.03,69.600,expert,1,0.8,1.25000,both_lanes,5,forward,simulator_ground_truth,expert_path_follow,0.3399,0.3401,,,,,0.28335,-1.40018,3.14104,0.00335,0.00013,-0.14000,-1.40000
lane1_00042,images/lane_1/lane1_00042.jpg,run_20260831_015552,442,dataset\runs\run_20260831_015552\images\frame_000442.jpg,expert_command,0.3399,0.3401,0.098333,0.000200,0.000000,-0.03:+0.03,70.880,expert,1,0.8,1.25000,both_lanes,2,forward,simulator_ground_truth,expert_path_follow,0.3399,0.3401,,,,,-0.16924,-1.40002,3.14144,0.00576,0.00010,-0.59500,-1.40000
lane1_00043,images/lane_1/lane1_00043.jpg,run_20260831_015552,449,dataset\runs\run_20260831_015552\images\frame_000449.jpg,expert_command,0.3400,0.3400,0.088733,0.000000,0.000000,-0.03:+0.03,72.000,expert,1,0.8,1.25000,both_lanes,1,forward,simulator_ground_truth,expert_path_follow,0.3400,0.3400,,,,,-0.56526,-1.40000,3.14158,0.00526,0.00002,-0.98000,-1.40000
lane1_00044,images/lane_1/lane1_00044.jpg,run_20260831_015552,457,dataset\runs\run_20260831_015552\images\frame_000457.jpg,expert_command,0.3400,0.3400,0.289833,0.000000,0.000000,-0.03:+0.03,73.280,expert,1,0.8,1.25000,right_only,22,forward,simulator_ground_truth,expert_path_follow,0.3400,0.3400,,,,,-1.01787,-1.40000,-3.14159,0.00287,-0.00000,-1.43500,-1.40000
lane1_00045,images/lane_1/lane1_00045.jpg,run_20260831_015552,468,dataset\runs\run_20260831_015552\images\frame_000468.jpg,expert_command,0.3400,0.3400,0.330000,0.000000,0.000000,-0.03:+0.03,75.040,expert,1,0.8,1.25000,left_only,-30,right,simulator_ground_truth,expert_path_follow,0.3400,0.3400,,,,,-1.64020,-1.40000,-3.14159,0.00480,-0.00000,-2.06500,-1.40000
lane1_00046,images/lane_1/lane1_00046.jpg,run_20260831_015552,479,dataset\runs\run_20260831_015552\images\frame_000479.jpg,expert_command,0.4415,0.1979,1.133238,-0.243600,0.059700,-0.30:-0.22,76.800,expert,1,0.8,1.25000,left_only,-50,right,simulator_ground_truth,expert_path_follow,0.4415,0.1979,,,,,-2.25331,-1.40018,2.92982,0.01490,-0.16912,-2.41258,-1.33640
lane1_00047,images/lane_1/lane1_00047.jpg,run_20260831_015552,517,dataset\runs\run_20260831_015552\images\frame_000517.jpg,expert_command,0.2783,0.3841,1.203757,0.105800,0.190000,+0.09:+0.15,82.880,expert,1,0.8,1.25000,left_only,-50,right,simulator_ground_truth,expert_path_follow,0.2783,0.3841,,,,,-2.93118,0.24492,1.23277,0.03156,0.07347,-2.90000,0.36000
lane1_00048,images/lane_1/lane1_00048.jpg,run_20260831_015552,520,dataset\runs\run_20260831_015552\images\frame_000520.jpg,expert_command,0.1219,0.4958,1.641652,0.373900,0.113500,+0.30:+0.45,83.360,expert,1,0.8,1.25000,left_only,-30,right,simulator_ground_truth,expert_path_follow,0.1219,0.4958,,,,,-2.87431,0.39860,1.51969,0.02573,0.25966,-2.90000,0.52000
lane1_00049,images/lane_1/lane1_00049.jpg,run_20260831_015552,539,dataset\runs\run_20260831_015552\images\frame_000539.jpg,expert_command,0.4238,0.2227,0.911024,-0.201100,0.028300,-0.22:-0.15,86.400,expert,1,0.8,1.25000,left_only,-50,right,simulator_ground_truth,expert_path_follow,0.4238,0.2227,,,,,-2.56842,1.25611,0.62106,0.00908,-0.13963,-2.42539,1.33084
lane1_00050,images/lane_1/lane1_00050.jpg,run_20260831_015552,542,dataset\runs\run_20260831_015552\images\frame_000542.jpg,expert_command,0.4705,0.1574,1.366738,-0.313100,0.035200,-0.45:-0.30,86.880,expert,1,0.8,1.25000,left_only,-50,right,simulator_ground_truth,expert_path_follow,0.4705,0.1574,,,,,-2.43130,1.35047,0.40928,0.02051,-0.21742,-2.26633,1.38252
lane1_00051,images/lane_1/lane1_00051.jpg,run_20260831_015552,555,dataset\runs\run_20260831_015552\images\frame_000555.jpg,expert_command,0.3180,0.3557,0.364429,0.037700,0.004000,+0.03:+0.09,88.960,expert,1,0.8,1.25000,both_lanes,14,forward,simulator_ground_truth,expert_path_follow,0.3180,0.3557,,,,,-1.72946,1.40581,-0.03953,0.01559,0.02615,-1.29500,1.40000
lane1_00052,images/lane_1/lane1_00052.jpg,run_20260831_015552,564,dataset\runs\run_20260831_015552\images\frame_000564.jpg,expert_command,0.3407,0.3390,0.082314,-0.001700,0.002000,-0.03:+0.03,90.400,expert,1,0.8,1.25000,both_lanes,0,forward,simulator_ground_truth,expert_path_follow,0.3407,0.3390,,,,,-1.22211,1.39643,0.00979,0.00459,-0.00123,-0.80500,1.40000
lane1_00053,images/lane_1/lane1_00053.jpg,run_20260831_015552,572,dataset\runs\run_20260831_015552\images\frame_000572.jpg,expert_command,0.3408,0.3389,0.007710,-0.001900,0.000400,-0.03:+0.03,91.680,expert,1,0.8,1.25000,both_lanes,0,forward,simulator_ground_truth,expert_path_follow,0.3408,0.3389,,,,,-0.76982,1.40003,0.00123,0.00018,-0.00131,-0.35000,1.40000
lane1_00054,images/lane_1/lane1_00054.jpg,run_20260831_015552,580,dataset\runs\run_20260831_015552\images\frame_000580.jpg,expert_command,0.3399,0.3401,0.038705,0.000200,0.000200,-0.03:+0.03,92.960,expert,1,0.8,1.25000,both_lanes,0,forward,simulator_ground_truth,expert_path_follow,0.3399,0.3401,,,,,-0.31729,1.40020,-0.00058,0.00229,0.00011,0.10500,1.40000
lane1_00055,images/lane_1/lane1_00055.jpg,run_20260831_015552,588,dataset\runs\run_20260831_015552\images\frame_000588.jpg,expert_command,0.3399,0.3401,0.079700,0.000200,0.000000,-0.03:+0.03,94.240,expert,1,0.8,1.25000,both_lanes,1,forward,simulator_ground_truth,expert_path_follow,0.3399,0.3401,,,,,0.13530,1.40003,-0.00018,0.00470,0.00011,0.56000,1.40000
lane1_00056,images/lane_1/lane1_00056.jpg,run_20260831_015552,598,dataset\runs\run_20260831_015552\images\frame_000598.jpg,expert_command,0.3400,0.3400,0.018533,0.000000,0.000000,-0.03:+0.03,95.840,expert,1,0.8,1.25000,both_lanes,-1,forward,simulator_ground_truth,expert_path_follow,0.3400,0.3400,,,,,0.70105,1.40000,-0.00000,0.00105,0.00001,1.12000,1.40000
lane1_00057,images/lane_1/lane1_00057.jpg,run_20260831_015552,606,dataset\runs\run_20260831_015552\images\frame_000606.jpg,expert_command,0.3400,0.3400,0.025333,0.000000,0.000000,-0.03:+0.03,97.120,expert,1,0.8,1.25000,both_lanes,3,forward,simulator_ground_truth,expert_path_follow,0.3400,0.3400,,,,,1.15366,1.40000,0.00001,0.00134,-0.00000,1.57500,1.40000
lane1_00058,images/lane_1/lane1_00058.jpg,run_20260831_015552,611,dataset\runs\run_20260831_015552\images\frame_000611.jpg,expert_command,0.3400,0.3400,0.295667,0.000000,0.000000,-0.03:+0.03,97.920,expert,1,0.8,1.25000,left_only,-50,right,simulator_ground_truth,expert_path_follow,0.3400,0.3400,,,,,1.43654,1.40000,0.00000,0.00154,-0.00000,1.85500,1.40000
lane1_00059,images/lane_1/lane1_00059.jpg,run_20260831_015552,637,dataset\runs\run_20260831_015552\images\frame_000637.jpg,expert_command,0.4317,0.2116,0.980967,-0.220100,0.016100,-0.30:-0.22,102.080,expert,1,0.8,1.25000,left_only,-50,right,simulator_ground_truth,expert_path_follow,0.4317,0.2116,,,,,2.74164,1.09352,-0.92138,0.01127,-0.15280,2.81904,0.95070
lane1_00060,images/lane_1/lane1_00060.jpg,run_20260831_015552,651,dataset\runs\run_20260831_015552\images\frame_000651.jpg,expert_command,0.1154,0.5004,1.269038,0.385000,0.074400,+0.30:+0.45,104.320,expert,1,0.8,1.25000,both_lanes,80,left,simulator_ground_truth,expert_path_follow,0.1154,0.5004,,,,,2.88595,0.40024,-1.72184,0.01405,0.26733,2.90000,0.28000
lane1_00061,images/lane_1/lane1_00061.jpg,run_20260831_015552,683,dataset\runs\run_20260831_015552\images\frame_000683.jpg,expert_command,0.3906,0.2692,0.738505,-0.121400,0.010000,-0.15:-0.09,109.440,expert,1,0.8,1.25000,left_only,-50,right,simulator_ground_truth,expert_path_follow,0.3906,0.2692,,,,,2.67855,-1.16601,-2.41951,0.01073,-0.08433,2.54735,-1.26323
lane1_00062,images/lane_1/lane1_00062.jpg,run_20260831_015552,689,dataset\runs\run_20260831_015552\images\frame_000689.jpg,expert_command,0.4751,0.1508,1.447929,-0.324300,0.031300,-0.45:-0.30,110.400,expert,1,0.8,1.25000,left_only,-50,right,simulator_ground_truth,expert_path_follow,0.4751,0.1508,,,,,2.41202,-1.36237,-2.77031,0.02403,-0.22518,2.23892,-1.38785
lane1_00063,images/lane_1/lane1_00063.jpg,run_20260831_015552,690,dataset\runs\run_20260831_015552\images\frame_000690.jpg,expert_command,0.4850,0.1370,1.482614,-0.348000,0.023700,-0.45:-0.30,110.560,expert,1,0.8,1.25000,both_lanes,-85,right,simulator_ground_truth,expert_path_follow,0.4850,0.1370,,,,,2.36280,-1.39140,-2.87638,0.03430,-0.24169,2.18362,-1.39562
lane1_00064,images/lane_1/lane1_00064.jpg,run_20260831_015552,702,dataset\runs\run_20260831_015552\images\frame_000702.jpg,expert_command,0.3199,0.3544,0.250286,0.034500,0.006400,+0.03:+0.09,112.480,expert,1,0.8,1.25000,both_lanes,16,forward,simulator_ground_truth,expert_path_follow,0.3199,0.3544,,,,,1.70706,-1.40409,3.10773,0.00894,0.02394,1.29500,-1.40000
lane1_00065,images/lane_1/lane1_00065.jpg,run_20260831_015552,718,dataset\runs\run_20260831_015552\images\frame_000718.jpg,expert_command,0.3409,0.3387,0.027143,-0.002200,0.000400,-0.03:+0.03,115.040,expert,1,0.8,1.25000,both_lanes,-1,forward,simulator_ground_truth,expert_path_follow,0.3409,0.3387,,,,,0.80375,-1.39991,-3.13989,0.00125,-0.00149,0.38500,-1.40000
lane1_00066,images/lane_1/lane1_00066.jpg,run_20260831_015552,726,dataset\runs\run_20260831_015552\images\frame_000726.jpg,expert_command,0.3399,0.3400,0.024186,0.000100,0.000100,-0.03:+0.03,116.320,expert,1,0.8,1.25000,both_lanes,3,forward,simulator_ground_truth,expert_path_follow,0.3399,0.3400,,,,,0.35123,-1.40022,3.14099,0.00125,0.00008,-0.07000,-1.40000
